story_name,surface_story,truth
"Half a Bottle of Perfume","Recently, my mother has been acting strangely, secretly using my perfume and wearing my clothes, even sneaking out at midnight. One day, I couldn't hold back and confronted her, leading to an argument. Accidentally, I pushed her to the ground. Rushing to help her up, I found my hands covered in fresh blood.","My mother passed away a few days ago. Her death dealt a severe blow to me, inducing hallucinations and sleepwalking. At night, I find myself dressing in the beautiful clothes and perfume my mother left me, wandering to her grave to speak with her. Once, while arguing with what I imagined was her reflection in the mirror, I accidentally knocked it over. It shattered, and as I hurriedly collected the pieces, I cut my hands, causing them to bleed."
"Found You","Drip...drip...drip... Bang bang bang. Drip...drip...drip... The sound of water rushing. Drip...drip...drip... 'I found you.'","Having accidentally witnessed a murder, I became the target of the killer's pursuit. In desperation, I hid in a bathroom, listening as his footsteps grew nearer. Just when the footsteps seemed to recede, giving me a false sense of security, my accidental flushing of the toilet drew the killer back. Peeking under the door, he ominously stated, 'I found you,' with the increasing 'drips' indicating his approaching presence, and the 'bang bang bang' being the sound of him knocking on the bathroom door."
"Grandma's Apples","At age 6, my grandma told me not to eat yellow apples. At 13, she warned me against green apples. At 18, she cautioned me about red apples. After she passed away at 20, I prayed to her, hoping I can enjoy all apples freely.","Our family, living in poverty, depended solely on my grandmother's apple orchard. Following my brother's birth, I felt neglected, prompting my grandmother to grow poisonous apples as a form of protection. These actions led to a solitude shared only between us. As I grew, she continued to use the apples to shield me from harm until her death, which quieted the village's whispers. Under the apple tree, I whispered a prayer to my grandmother, allowing myself the freedom to enjoy any apple, marking the end of our silent battle against the world."
"Forever Together","My mother loved me deeply, but after a heavy rain, she locked me in a pitch-dark room. When I saw her again, she was unrecognizable. I knew then that we would be together forever.","As a cherished Barbie doll, I was adored and never left behind by my mother. Following a storm, she placed me in a neglected warehouse. Years later, during her funeral, I was laid beside her, now unrecognizable. Surrounding conversations revealed her identity to me, affirming my belief in our everlasting connection, despite the surrounding darkness."
"The Strange Mark","Returning home from studying abroad, I noticed an 'X' written next to our door, which I casually erased. However, it reappeared by evening. Assuming it was a child's prank, I ignored it. That night, loud cartoon noises from the neighbor's house distracted me from work, so I went to confront them. The next morning, the 'X had changed to an 'O. Just as I was puzzled, the neighbor's door opened, and I realized danger was imminent...","Previously, a tragic accident in our building led to a boy's death. His father, seeking vengeance for the unresolved tragedy, marked the doors of residents, with 'X indicating his actions of retribution and 'O' marking those next in line. My confrontation with the neighbors revealed my presence, unknowingly changing my status to his next target. The next morning's ominous door opening forewarned of the peril that awaited me."
"The Elevator","I entered the elevator to go to school, but as it ascended, I knew I could never go to school again."," On a Monday morning, urged by my mother, I absent-mindedly entered the elevator for school. Forgetting to press for the ground floor, the elevator kept rising. Just as I was about to correct this, it stopped, and the doors opened to reveal a girl in a pool of blood and a man cleaning up. The man, noticing me, stared intently at my hand. Startled, I frantically pressed the elevator button to close the door. As it nearly shut, a bloody hand reached in, confirming my fears of never reaching school. (The elevator's ascent was triggered by the girl pressing the button for help before being murdered.)"
"Your Mom Is Really Nice","While on a business trip to the countryside, a friend called me saying, 'Your mom is really good...' The next day, returning home, I was devastated.","Upon returning, I found my mother's dismembered body and my breathless friend. My friend, a chef with recent mental health issues, had mistaken my mother for food during a psychotic episode and cooked her... The call saying 'Your mom is really good' was misunderstood due to poor signal, not catching that he actually said, 'Your mom tastes really good!'"
"Birthday","A person celebrates their birthday alone, inviting all their friends. After blowing out the candles, this person kills all their friends.","The protagonist and their friends, once stranded without food, lied to the blind protagonist, saying everyone would amputate a hand for food, yet only the protagonist's hand was cut. Later, during a birthday party, the protagonist realized the deceit when everyone clapped, revealing only their hand had been taken. Unable to bear the betrayal, the protagonist killed all their friends."
"The Doll","I found a cup of honey water and a piece of chocolate cake on my bedside table, but the doll that was supposed to be there had disappeared. I knew then that my boyfriend would never return.","My boyfriend was abusive. A quiet neighbor gave me a doll, which I knew was tampered with but also believed had fallen in love with me. I confided in the doll about my boyfriend's abuse. After one of his assaults, he left, and I cried myself to sleep. Later, I felt a presence and the sound of dripping, but slept more peacefully (The dripping sound was blood from my boyfriend's severed hand, used by the neighbor to unlock my door, bringing me the honey water and cake.)"
"The Photo Album","I am a doctor. One day, someone placed a photo album in front of me, and I realized they had uncovered all of my secrets.","I grew up enduring my stepmother's brutal beatings, haunted by her phoenix eyes which were the source of my nightmares. Eventually, I killed her, cutting out her eyelids to place in my photo album. I wanted her to witness my future happiness. As an adult, I became an ophthalmologist, but just as I was about to escape the shadow she cast over my life, I encountered a patient whose eyes eerily resembled those of my stepmother. Unable to control myself, the sight of those eyes brought back memories of that vile woman, leading me to kill any woman who shared her distinctive phoenix eyes. Gradually, my album grew thicker with my sins, and now, I must face the consequences... (The person with the album was a police officer.)"
"Hair Washing","One night, I washed my hair in the dormitory, and as a result, both my roommate and I ended up dead.","My parents were scientists, but I was unfortunately afflicted with a terminal illness. In my final moments, they preserved my brain in a robotic body, but my head could not be exposed to water as it would short-circuit, leading to my demise. Having not washed my hair for a long time due to my obsession with cleanliness, I decided to wash it when the dormitory was empty. However, my roommate unexpectedly returned, screamed upon seeing me, and fainted, while I accidentally dropped my head into the sink, causing a short-circuit and shutting down permanently."
"Weight Loss","With my husband's assistance, I successfully lost weight, but during a live broadcast, I suddenly felt unwell and discovered a horrifying scene in the bathroom.","I've always had a fast metabolism and couldn't gain weight. To make money, my boyfriend suggested I start a mukbang channel. Recently, feeling bloated, my boyfriend, a doctor, performed liposuction on me at home. During a live session, I felt nauseous and rushed to the bathroom, where I found the toilet clogged. To my horror, when I extracted the blockage, it was my unborn baby! Unbeknownst to me, my weight gain was due to pregnancy, but to ensure I could continue my live streams for income, he removed the baby while I was under anesthesia..."
"The Creepy Portrait","A lost girl found an empty house to rest in, too weary to sleep. Awakening the next morning, she discovered something amiss and fled the house in terror.","At dusk, the lost girl stumbled upon a cottage adorned with a portrait. Deciding to rest there, she felt uneasy, as if the person in the portrait was watching her, preventing her from falling asleep. The next morning, she woke to find the portrait's subject gone. Realizing the 'portrait' was actually a window, and someone had been watching her from outside, she understood the truth and hurriedly left the house."
"The Old Music Box","A boy and a girl were neighbors since childhood. For her birthday, the boy gave her an old music box, and soon after, the girl moved away.","The boy had been courting the girl for some time. On her birthday, he gifted her an old music box, identical to one she had in her early childhood, moving her deeply enough to accept his advances. However, after accidentally breaking the music box, she found a photo inside of her childhood dog, which she had buried with a similar music box after its death. Realizing the boy had exhumed the music box to win her over, she recognized his obsession and fled overnight."
"The Shadow","One evening, I went to the public restroom and saw a person standing by the men's entrance with a shadow behind him, holding something. I was startled but quickly composed myself. The next day, the police asked me why I hadn't reported seeing a corpse; I was instantly petrified.","The absence of light at night means there are no shadows. The 'shadow' I saw behind the man was actually a body."
